HCUPnet - Hospital Inpatient State Statistics,,,,,,,
,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: All Stays | Principal or All-Listed: Principal | Outcome and Measures: Number, Aggregate charges, Aggregate costs, Age (mean) | Patient Characteristics: Age groups, Sex, Payer, Location of patient's residence | Hospital/Facility Characteristics: Hospital ownership, Hospital bedsize | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,
,,,,,,,
2016  Arizona,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,Missing,180,0.0251516786,---,10061939,2015577.20507725,
Sex,Male,308589,43.1196185888,51.2134396961,14822252044.1,3284460258.42536,
,Female,406683,56.8264450338,49.278534343,15256213396.86,3369030117.83888,
,Missing,386,0.0539363774,56.2701298701,16573574,3495761.99190333,
Payer,Medicare,321580,44.9348711256,71.3142339137,15209780629.49,3349009176.9736,
,Medicaid,141194,19.7292561531,23.4573779671,4603982697.85,1036336311.05154,
,Private insurance,187022,26.1328735234,37.3677429361,7514222927.74,1657987925.6861,
,Uninsured,38257,5.3457098223,41.945751634,1654243218.12,370802952.72915,
,Other,23465,3.278800768,34.9354302519,858191108.76,186576815.336156,
,Missing,4140,0.5784886077,49.4816425121,254618433,56272956.4795953,
Patient residence,Large central metro,135464,18.9285943845,44.8438192291,6308421116.57999,1217341585.66938,
,Large fringe metro (suburbs),134906,18.8506241808,48.4878131975,6066212826.09999,1232603977.22755,
,Medium and small metro,252778,35.3210611773,51.3159814822,9866770074.75,2244499446.51822,
,Micropolitan and noncore (rural),191543,26.7645998508,53.4968616844,7795230198.53,1944846391.63343,
,Missing,967,0.1351204067,32.7523316062,58404799,17694737.2076229,
Owner,Government,134304,18.7665057891,50.4033990199,3816000133.25,1211227314.67189,
,"Private, Not For Profit",423410,59.163734633,49.5878221468,17755375651.19,4119997587.09524,
,"Private, For Profit",157944,22.0697595779,51.2901634465,8523663230.51999,1325761236.48904,
Bedsize,Small,100732,14.075438268,47.0955189499,3005208729.18,813458639.063465,
,Medium,239113,33.4116295773,52.7561648877,10291039255.24,2111704155.90472,
,Large,375813,52.5129321547,49.2465601367,16798791030.54,3731823343.28791,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Tennessee Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Texas,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,2852546,100,45.5944162928,156147037653.94,33071156051.6863,
Age group,<1,415364,14.5611674623,0,10825108028.7,2348181960.08028,
,1-17,113110,3.965229658,9.3755282468,5993551025.17999,1626993544.59876,
,18-44,760714,26.6678959778,30.5787036915,28674111046.34,6140281903.93271,
,45-64,667078,23.3853546972,55.5349749205,48058572574.4899,10216838717.5659,
,65-84,718127,25.1749489754,73.6000693471,52519340504.13,10707905741.1493,
,85+,176831,6.1990586655,89.2231735386,9985015519.26,2009668898.10582,
,Missing,1322,0.0463445638,---,91338955.84,21285286.250536,
Sex,Male,1191233,41.7603432162,47.0084524571,75910505102.6899,16206536100.412,
,Female,1658829,58.1525766806,44.5801923514,80121778481.9598,16837018302.5978,
,Missing,2484,0.0870801032,44.702867889,114754069.29,27601648.6754377,
Payer,Medicare,968364,33.9473579041,71.8444150227,68069021350.7599,13782867829.8369,
,Medicaid,575193,20.1641971768,19.9178785406,21669678627.1999,4745822492.30508,
,Private insurance,969530,33.9882336692,36.5484700748,49174868886.4399,10678950991.4913,
,Uninsured,276879,9.7063815974,39.5053771606,13554056040.34,3028599544.8246,
,Other,61572,2.1584927991,42.2431931899,3626542600.19999,826527358.63926,
,Missing,1008,0.0353368535,40.3898809524,52870149,8387834.58708621,
Patient residence,Large central metro,1248774,43.7775236578,43.2167362549,66776039040.3098,14726419845.7216,
,Large fringe metro (suburbs),495564,17.3726909224,46.9530208251,28032737708.48,6127364436.94131,
,Medium and small metro,703767,24.6715390392,45.7720593043,39195662947.54,7290287986.9515,
,Micropolitan and noncore (rural),394832,13.8413894114,51.5240581693,21719817920.3499,4822802588.48793,
,Missing,9609,0.3368569692,27.296876677,422780037.26,104281193.582451,
Owner,Government,381967,13.3903887965,42.6311489576,14147182107.0799,5198830189.47751,
,"Private, Not For Profit",1351532,47.3798494398,45.8620834654,69091921530.7599,16228122855.8894,
,"Private, For Profit",1119047,39.2297617637,46.2828950545,72907934016.0998,11644203006.3162,
Bedsize,Small,514992,18.0537667053,49.4882513937,28179861309.21,6984115362.29178,
,Medium,898843,31.5102017636,43.9557707651,44372456798.57,9063857813.82553,
,Large,1438711,50.4360315311,45.2254789409,83594719546.16,17023182875.5695,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Texas Health Care Information Council and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Utah,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,278682,100,38.8694089729,8275110301.69999,2934205062.86323,
Age group,<1,55320,19.8505823842,0,805180251.03,305590882.214392,
,1-17,15027,5.3921674166,9.1565182671,368226316.76,173343010.043895,
,18-44,89199,32.0074493509,30.1365261942,1869432861.18999,665205477.675945,
,45-64,51924,18.6319891489,55.6804175333,2351718416.93,821530563.520359,
,65-84,55555,19.9349078878,73.5343893439,2499315186.19,844538971.33956,
,85+,11524,4.1351791648,88.9395175286,377962080.6,122476529.251513,
,Missing,133,0.0477246467,---,3275189,1519628.81759234,
Sex,Male,112169,40.2498187899,40.164091493,4002384412.6,1428448062.96392,
,Female,166242,59.652937757,38.0144839455,4265507993.1,1502543388.25395,
,Missing,271,0.0972434531,27.5167286245,7217896,3213611.6454011,
Payer,Medicare,75138,26.9619135789,71.9971250216,3208434965.73,1084572761.47675,
,Medicaid,48265,17.319023116,19.9160287925,1139055585.82,426938063.46758,
,Private insurance,133531,47.915186485,27.9984266009,3359696166.13,1218315298.29528,
,Uninsured,11305,4.056594972,34.2407751526,274617075.02,96149008.1581461,
,Other,7580,2.7199460317,34.29915545,237186446,87433412.0874068,
,Missing,2863,1.0273358165,25.8229130283,56120063,20796519.3781198,
Patient residence,Large central metro,100264,35.9779246596,39.1878249588,3028322036.19,1027989145.95075,
,Large fringe metro (suburbs),6513,2.337072362,39.1557842987,187854125.05,67773618.5174036,
,Medium and small metro,134662,48.3210253981,37.4782324448,3846960278.28,1334670876.07116,
,Micropolitan and noncore (rural),36789,13.2010678838,42.9484474414,1197836673.97999,499052227.895822,
,Missing,454,0.1629096964,46.5253863135,14137188.2,4719194.42809523,
Owner,Government,33824,12.1371312105,44.1463630988,1405498086.73,652010970.589863,
,"Private, Not For Profit",169350,60.7681873964,36.3824885065,4491422236.97,1659103310.93268,
,"Private, For Profit",75508,27.0946813931,42.0796789532,2378189978,623090781.340726,
Bedsize,Small,42473,15.2406685757,34.4370745495,836125292.75,343494378.160375,
,Medium,114574,41.1128095822,36.3097041327,3335976224.67,1024495204.00945,
,Large,121635,43.6465218421,42.8261098366,4103008784.28,1566215480.69343,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Utah Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Vermont,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,53652,100,52.8204745839,1396266113.23,721860182.96087,
Age group,<1,5971,11.1291284575,0,69916074.6,34276090.3119842,
,1-17,1101,2.0521136211,9.2515894641,29601579,14158161.7810883,
,18-44,11093,20.6758368747,30.8541422519,222945167.76,114458863.455105,
,45-64,12812,23.8798180869,56.0797689666,427986234.99,219092159.090677,
,65-84,17058,31.7937821516,73.9130613202,523451379.22,273719533.598019,
,85+,5612,10.4600014911,89.4344262295,122309363.66,66127944.8742615,
,Missing,*,*,---,*,*,
Sex,Male,23676,44.1288302393,54.2364941922,697139836.75,356678433.415356,
,Female,29962,55.8450756729,51.7094599105,698782540.28,365011851.584349,
,Missing,14,0.0260940878,35.6428571429,343736.2,169897.961167353,
Payer,Medicare,24016,44.7625438008,73.8236028983,681034779.78,357147919.118101,
,Medicaid,10688,19.9209721912,29.0363091896,229868314.4,118167940.522097,
,Private insurance,17036,31.7527771565,39.4370413854,431465899.52,219878948.466963,
,Uninsured,816,1.5209125475,27.1151960784,13952528.53,7187668.4973253,
,Other,706,1.3158875718,43.828611898,22736210,11398676.4722831,
,Missing,390,0.7269067323,65.8948717949,17208381,8079029.88410355,
Patient residence,Large central metro,169,0.3149929173,55.5857988166,5462392,2813732.58246808,
,Large fringe metro (suburbs),303,0.5647506151,56.8811881188,9382583,4763746.69188302,
,Medium and small metro,18094,33.7247446507,50.0916979881,484886315.86,240582792.535889,
,Micropolitan and noncore (rural),35028,65.2874077388,54.1844396859,894170664.37,472542816.35199,
,Missing,58,0.1081040781,51.0689655172,2364158,1157094.79863904,
Owner,"Private, Not For Profit",53652,100,52.8204745839,1396266113.23,721860182.96087,
Bedsize,Small,15123,28.1872064415,53.8424150245,248023972.4,155614909.714431,
,Medium,9959,18.5622157608,55.9830304247,176265354.629999,101097427.99613,
,Large,28570,53.2505777977,51.1769236155,971976786.2,465147845.250304,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Vermont Association of Hospitals and Health Systems and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Washington,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,637832,100,47.6680653097,30629515100,9302990176.36796,
Age group,<1,90533,14.1938629608,0,1993685552,622312829.952227,
,1-17,19857,3.1132022225,9.6057813366,1271893921,484831699.593099,
,18-44,158987,24.9261561038,30.9249938674,5390492882,1647138150.14718,
,45-64,146509,22.9698415884,55.9289531701,9296791537,2770364213.92321,
,65-84,173138,27.1447653928,73.5429541753,10587178739,3146124285.34266,
,85+,48737,7.6410402739,89.5878695857,2083347274,629300480.779914,
,Missing,71,0.0111314578,---,6125195,2918516.62968686,
Sex,Male,273998,42.9577067316,49.4617510074,15158214052,4615138431.64459,
,Female,363513,56.9919665366,46.3049368314,15454159687,4682326058.4228,
,Missing,321,0.0503267318,60.2741433022,17141361,5525686.30070549,
Payer,Medicare,229226,35.9383035031,73.2682729978,13056881350,3929313373.47185,
,Medicaid,140785,22.0724265951,27.470314898,5975454076,1843306945.84309,
,Private insurance,238565,37.4024821583,35.833749738,10159759529,3097690281.91067,
,Uninsured,12046,1.888585082,36.8950514779,499963909,153555915.384155,
,Other,17210,2.6982026615,43.4547515257,937456236,279123659.758342,
Patient residence,Large central metro,171448,26.8798053406,45.9264331879,8329115710,2482538545.38856,
,Large fringe metro (suburbs),181718,28.4899471961,46.9380933773,8904754595,2569083443.78656,
,Medium and small metro,208260,32.6512310452,48.091290651,9615064323,2951086563.69719,
,Micropolitan and noncore (rural),76002,11.9156768553,52.1859932624,3747868178,1289089326.96467,
,Missing,404,0.0633395628,47.0544554455,32712294,11192296.5309986,
Owner,Government,132215,20.7288126027,47.1732648554,5539055996,2089437685.57143,
,"Private, Not For Profit",477872,74.9212958898,47.6351583265,23601071787,6896647342.17119,
,"Private, For Profit",27745,4.3498915075,50.5927621382,1489387317,316905148.625436,
Bedsize,Small,86753,13.601230418,52.7248353879,3672850119,1317162951.72742,
,Medium,180511,28.3007124133,45.0931362501,8802878080,2625709862.97844,
,Large,370568,58.0980571687,47.7389182902,18153786901,5360117361.66225,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Washington State Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  West Virginia,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,245664,100,52.3764142609,7297549440.75,2702776341.54484,
Age group,<1,21743,8.8507066562,0,356907850.169999,119138708.178765,
,1-17,7290,2.9674677608,9.5072702332,157893607,53923564.1121333,
,18-44,53177,21.6462322522,30.887338511,1174004026.3,426465160.363244,
,45-64,66684,27.1443923408,55.8192819867,2401017372.15,886817492.972672,
,65-84,77092,31.3810733359,73.6796943911,2699639121.36999,1016963482.80737,
,85+,19637,7.993438192,89.1521108112,507270825.76,199170180.069695,
,Missing,41,0.016689462,---,816638,297753.040985434,
Sex,Male,106182,43.2224501758,52.7359839494,3530817371.75999,1297479283.3312,
,Female,139103,56.6232740654,52.1531232924,3759540149.98999,1402847760.92208,
,Missing,379,0.1542757588,33.3973333333,7191919,2449297.29155684,
Payer,Medicare,115478,47.006480396,71.8263275486,3834900335.7,1445266891.92283,
,Medicaid,64578,26.2871238765,31.0672140036,1714056851.65,615946854.236032,
,Private insurance,56472,22.9874951153,38.2580279495,1508171382.75,552060208.422007,
,Uninsured,3718,1.513449264,34.734858681,71468895.65,26911160.2633696,
,Other,5403,2.1993454474,50.8800666297,168908534,62558307.018623,
,Missing,15,0.0061059007,75.7333333333,43441,32919.6820330416,
Patient residence,Large central metro,579,0.2356877687,50.4335060449,16036695,6192950.09299818,
,Large fringe metro (suburbs),5553,2.2604044549,50.1978021978,135407197,59329899.4021041,
,Medium and small metro,139166,56.6489188485,52.1709115474,4264746794.83,1542500036.4016,
,Micropolitan and noncore (rural),98505,40.0974501758,53.1613748287,2842117349.26999,1079461472.40123,
,Missing,1861,0.7575387521,33.2940860215,39241404.65,15291983.2469177,
Owner,Government,14750,6.0041357301,52.9532881356,223633672.91,101364682.372769,
,"Private, Not For Profit",204858,83.3895076202,52.0730404554,6343233051.97,2378292365.42582,
,"Private, For Profit",26056,10.6063566497,54.4346574554,730682715.87,223119293.746269,
Bedsize,Small,60473,24.6161423733,54.2306789052,1314308557.34,598533029.589293,
,Medium,50136,20.4083626417,52.2973787105,1699314095.57,589212486.998129,
,Large,135055,54.975494985,51.5754350885,4283926787.84,1515030824.95742,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the West Virginia Health Care Authority and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Wisconsin,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,574523,100,50.0016940919,19972195477.48,7086308297.6885,
Age group,<1,70446,12.2616500993,0,1027670457.31,398808372.207237,
,1-17,16305,2.8380064854,10.0280282122,603271855.02,238422755.749452,
,18-44,132876,23.1280557959,30.7351289924,3201692186.85,1141931966.61903,
,45-64,140275,24.4159067609,55.8631901622,6386687176.68,2191424374.5167,
,65-84,163892,28.5266212145,73.9089461353,7178053006.98,2537442876.04233,
,85+,50555,8.7994736503,89.4404312135,1562765467.64,573177722.48679,
,Missing,174,0.0302859938,---,12055327,5100230.06706979,
Sex,Male,249858,43.4896427123,51.6064108775,9926677062.67,3494110408.3062,
,Female,324485,56.4790269493,48.7572856236,10037073328.81,3589195012.59635,
,Missing,180,0.0313303384,66.0833333333,8445086,3002876.78602269,
Payer,Medicare,247947,43.1570189531,73.3148201926,10119319162.45,3573372901.04596,
,Medicaid,113080,19.6824148032,27.0075239216,3163364332,1146674457.25638,
,Private insurance,193695,33.7140549639,34.7760799401,6077144806.52,2144253746.42335,
,Uninsured,11036,1.9208978579,31.4019572309,267766883.8,96570894.7260135,
,Other,8408,1.4634749175,46.6972400666,321878444.71,116383126.411175,
,Missing,357,0.0621385045,47.3641456583,22721848,9053171.82577588,
Patient residence,Large central metro,115670,20.1332235611,47.3281229726,4763714924.4,1447198174.23104,
,Large fringe metro (suburbs),80321,13.9804672746,52.1335766151,3079892895,1059715828.76713,
,Medium and small metro,224623,39.0973033282,48.4926796687,7265051074.87,2590606196.67792,
,Micropolitan and noncore (rural),153589,26.7333074568,53.1151965094,4850949853.21,1984421488.94822,
,Missing,320,0.0556983794,45.946875,12586730,4366609.06432313,
Owner,Government,675,0.1174887689,70.3540740741,9304686.8,9017725.18873566,
,"Private, Not For Profit",556654,96.8897676855,49.9141210571,19205613159.88,6834184575.9972,
,"Private, For Profit",17194,2.9927435455,52.0371081254,757277630.8,243105996.502736,
Bedsize,Small,212481,36.9838979466,48.4098217061,6144669548.57999,2483207279.37576,
,Medium,187933,32.7111360207,48.9539593765,5537042171.89,2039973055.05256,
,Large,174109,30.3049660327,53.0744936294,8290483757.01,2563127963.26029,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Wisconsin Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Wyoming,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,43269,100,47.3768752456,1139655276.99,498815384.513715,
Age group,<1,6327,14.6224779865,0,28275066.07,13461070.2692368,
,1-17,1125,2.6000138667,9.6124444444,14469508.53,6827343.13418649,
,18-44,11308,26.1341838268,29.8711531659,213836979.23,93953792.56787,
,45-64,9036,20.8833113777,55.8487162461,349626424.29,151016463.693433,
,65-84,12029,27.8005038249,73.9201928672,442802925.22,193038726.212277,
,85+,3436,7.9410201299,89.3885331781,90448906.65,40455658.4182871,
,Missing,*,*,---,*,*,
Sex,Male,18073,41.7689338788,49.015109586,531676194.73,230004498.344381,
,Female,25178,58.1894658994,46.2038927507,607478292.26,268517348.241546,
,Missing,18,0.0416002219,43.5,500790,293537.927786626,
Payer,Medicare,15110,34.9210751346,73.9424108029,512042314,219566683.174796,
,Medicaid,6580,15.2071922161,21.302661597,107598537.8,44477124.141647,
,Private insurance,11911,27.5277912593,37.4945008815,268797553.24,134373167.075465,
,Uninsured,3475,8.0311539439,33.2854676259,78071880.66,32876244.1439576,
,Other,6065,14.016963646,37.2570486397,170501398.29,66576596.053919,
,Missing,128,0.2958237999,33.046875,2643593,945569.92392807,
Patient residence,Large central metro,210,0.4853359218,52.280952381,5988094,2658800.63387057,
,Large fringe metro (suburbs),191,0.4414245765,53.6439790576,6961463,2872829.19693624,
,Medium and small metro,17368,40.1395918556,47.8415385501,514250563.29,186830700.076455,
,Micropolitan and noncore (rural),25483,58.8943585477,46.9765269273,612092837.12,306289251.301772,
,Missing,17,0.0392890984,41.6470588235,362319.58,163803.304680664,
Owner,Government,28203,65.1806142966,46.7311961417,700655059.76,343600422.392403,
,"Private, Not For Profit",11211,25.9100048534,51.2741949871,349082087.16,129117528.438687,
,"Private, For Profit",3855,8.90938085,40.7590236302,89918130.07,26097433.6826231,
Bedsize,Small,12792,29.5638910074,50.452583848,380953077.03,157334593.214691,
,Medium,16448,38.0133582935,50.4382903696,479664900.07,205610632.038417,
,Large,14029,32.4227506991,40.9801026958,279037299.89,135870159.260604,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Wyoming Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
,,,,,,,
